Logger, qwerterqwer_bot:         	Automatically truncated logfile to 1048576
LoggerLoop, antispamlol_bot:     	Pausing call check for 10
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2915 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -4 for 10
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -2 for 10
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2916 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2917 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2918 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2919 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2920 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2921 seconds ago in DC 2, no response has been received or it wasn't yet handled!
